カテゴリ,uplift_mean,uplift_max,uplift_std,trigger_count,volatility_mean,volatility_max,sales_high_mean,sales_low_mean,難易度スコア,推奨モデル
280:チケット・カード,2.040975,4.718997,2.3392625428053173,3,2.040975157499926,4.718996666666667,21390.336666666666,10513.726666666667,100.0,A:個別モデル
220:化粧品,1.4162305000000002,4.127442,1.8087963177902775,4,1.4162207549873664,4.1274040348535985,2280.625,1285.7075,79.65588450271328,A:個別モデル
140:カウンターＦＦ,1.2091513333333335,2.480293,1.1156705265679172,3,1.2091480266470256,2.4802853473050015,6344.990000000001,3169.5433333333335,62.476952332051226,B:カテゴリ別
165:インスタント食品,1.0242369999999998,2.413557,0.7868447845741242,5,1.0242304291786568,2.4135329341317364,788.5139999999999,435.26000000000005,58.71664428342109,B:カテゴリ別
250:文具・玩具・趣味雑貨,1.0569085,2.220215,0.8710959341540212,4,1.0569075366483245,2.220208524992334,4736.9375,2341.4375,57.702742391265076,B:カテゴリ別
399:その他,1.444018,1.499044,0.07781851548314196,2,1.4440203459353933,1.4990445586975152,6876.6,2824.69,57.31885034386232,B:カテゴリ別
170:乾物・缶詰・調味料,0.4969576666666667,0.840491,0.3293971697409274,3,0.49695736430330334,0.8404907975460123,1710.0,1145.0200000000002,29.687485495292158,C:統合モデル
300:日本酒・焼酎,0.5253829999999999,0.800766,0.38945037344698996,2,0.5253805175038052,0.8007610350076104,369.09000000000003,251.85000000000002,28.282871497026974,C:統合モデル
xxx:不明,0.26017566666666664,0.439743,0.1575184942326879,3,0.2601741737952686,0.4397377483045369,836.0466666666667,663.4266666666667,19.68131088258924,C:統合モデル
210:医薬品・医薬部外品,0.2653495,0.439005,0.24558596328068097,2,0.2653444475657742,0.43899717139573935,1128.61,889.855,17.743016346293423,C:統合モデル
105:調理麺,0.237584,0.237584,,1,0.23758473250599652,0.23758473250599652,2373.44,1917.8,,
125:日配品・生鮮品,1.773127,1.773127,,1,1.7731900130808165,1.7731900130808165,487.61,175.83,,
148:半生菓子,0.144487,0.144487,,1,0.1444885130053497,0.1444885130053497,3226.13,2818.84,,
160:インスタントラーメン,4.136364,4.136364,,1,4.136363636363637,4.136363636363637,3051.0,594.0,,
185:洋風菓子・駄菓子,0.050039,0.050039,,1,0.05003935585838574,0.05003935585838574,5029.3,4789.63,,
195:スナック菓子,0.186067,0.186067,,1,0.18607091232789563,0.18607091232789563,2125.19,1791.79,,
200:健康食品,0.185294,0.185294,,1,0.18529367930394752,0.18529367930394752,2306.38,1945.83,,
225:バス・洗面用品,0.30393,0.30393,,1,0.3039269629720202,0.3039269629720202,639.85,490.71,,
235:家庭雑貨,0.5,0.5,,1,0.5,0.5,747.0,498.0,,
245:衣料品,0.264528,0.264528,,1,0.26452583115470923,0.26452583115470923,2732.83,2161.15,,
260:雨具,1.99905,1.99905,,1,1.9990473580498245,1.9990473580498245,4596.28,1532.58,,
265:雑誌・コミック・新聞,0.224627,0.224627,,1,0.2246269081615223,0.2246269081615223,3871.56,3161.42,,
290:たばこ,0.201961,0.201961,,1,0.20196103668094167,0.20196103668094167,75923.78,63166.59,,
305:ワイン・洋酒,0.085019,0.085019,,1,0.08502013910405033,0.08502013910405033,5077.84,4679.95,,
