日付,売上数量,売上金額,廃棄数量,納品数量
2025/07/01,46076,11384829,1808,52651
2025/07/02,45562,10344433,1867,50429
2025/07/03,46176,10481537,1888,39016
2025/07/04,47583,11018930,1555,48279
2025/07/05,41878,9781462,1384,43125
2025/07/06,35026,7821340,1918,45091
2025/07/07,45096,10408449,1905,25889
2025/07/08,46601,10334624,1395,52785
2025/07/09,47198,10854090,1340,49946
2025/07/10,49192,11235479,1231,39909
2025/07/11,47254,10736316,1124,49995
2025/07/12,40720,9340929,1435,46157
2025/07/13,33563,7385719,1882,42611
2025/07/14,44366,10347518,1451,26518
2025/07/15,47139,11037103,1259,49343
2025/07/16,46431,10410451,1285,46609
2025/07/17,48297,10789891,1448,42136
2025/07/18,50476,11601860,1309,49164
2025/07/19,44747,9679768,1543,48447
2025/07/20,38308,8687785,1944,42671
2025/07/21,34787,7658705,2098,24961
2025/07/22,48031,10800799,1662,57173
2025/07/23,48764,11352519,1550,54183
2025/07/24,49618,10979414,1914,40078
2025/07/25,51676,12042187,1869,54187
2025/07/26,47057,10589964,2087,50731
2025/07/27,36825,8516149,2401,45832
2025/07/28,47278,11221362,2081,26576
2025/07/29,48311,11049514,1632,54741
2025/07/30,47997,11810267,2243,51328
2025/07/31,48291,11051199,1722,42862
