カテゴリ,気温相関係数
220:化粧品,0.4740851313895333
300:日本酒・焼酎,0.37107772552880625
245:衣料品,0.2665048383655464
125:日配品・生鮮品,0.24293249324995592
215:ドライ飲料,0.17351839724778673
165:インスタント食品,0.1715014781704224
185:洋風菓子・駄菓子,0.13955976681319526
105:調理麺,0.08323279926133142
398:用度品,0.07295935268457214
190:和風菓子・珍味・豆菓子,0.06459563322127941
140:カウンターＦＦ,0.039172475102937705
295:ビール,0.009731390035566776
225:バス・洗面用品,-0.004645426252200073
280:チケット・カード,-0.022357760329463884
xxx:不明,-0.03769571064086162
290:たばこ,-0.03838840298054185
120:惣菜,-0.040706189370158415
205:健康サポート飲料,-0.04802594132998629
265:雑誌・コミック・新聞,-0.051913829194589124
250:文具・玩具・趣味雑貨,-0.06922103001763448
170:乾物・缶詰・調味料,-0.073213763726013
305:ワイン・洋酒,-0.09135503802821633
200:健康食品,-0.0994934379666321
240:紙・衛生用品,-0.1087546252733473
195:スナック菓子,-0.11606077670801274
115:サラダ,-0.11678950429562593
135:牛乳・チルド飲料,-0.12088117380216315
210:医薬品・医薬部外品,-0.14516342266864068
255:電池・電器・喫煙具,-0.1626718570598843
110:調理パン,-0.16668027185477155
399:その他,-0.168614668765064
145:パン,-0.1737598103024902
130:デザート,-0.18629009568401994
100:米飯,-0.1886872961410736
180:ガム・キャンディ,-0.21836323442781058
260:雨具,-0.27972057900733527
148:半生菓子,-0.2948185715769441
