特徴量,相関係数
気温差_変化量_1d,0.04488955786817
気温差_大,0.039443540714965995
季節変動指数_変化率_月,0.033062727440039914
気温差,0.03122214146874164
季節変動指数_変化量_月,0.031159285035050426
気温差_拡大,0.030432098264169326
季節変動指数_変化率_週,0.028742156502757646
平日フラグ,0.028662648860105788
季節変動指数_変化量_週,0.025834459628003615
降雨フラグ,0.023408166003371613
季節変動指数_週,0.017319494473345014
弱雨,0.016494693029829418
季節_上昇期,0.01618613517834522
客数指数,0.0150310674751582
季節変動指数_週_t-1,0.014048260298575418
夏日,0.011891932206898497
降水量_t-7,0.011542074623711552
降水量_t-1,0.011536775808065823
普通雨,0.01148878542289489
降水量_累積7日,0.010885498554622747
降水量_累積14日,0.010830037133310771
降水_開始,0.010573830633546572
降水量_累積3日,0.010472529500744948
連続降雨日数,0.009997067031332244
季節変動指数_月,0.009249596518146318
降水量,0.008685666711691815
月初,0.0075597227864549
最高気温_変化率_7d,0.00753671636043082
最高気温_変化量_7d,0.007528489614430452
最高気温_変化率_1d,0.007361340137121075
最高気温_変化量_1d,0.00735596146258559
猛暑日,0.0071484795205702415
最高気温_変化量_14d,0.006285444936260571
やや暑い,0.006284127126789817
最低気温_t-14,0.005458281591150837
季節変動指数_月_t-1,0.005352369566494329
最低気温_t-1,0.004284805716206953
最低気温_t-7,0.004175896589394465
最高気温,0.0041419059141575764
強雨,0.004062227738166286
平均気温_t-14,0.003710081192248861
快適温度,0.00341289982938742
豪雨,0.0033865263678265014
寒くなった_7d,0.0033094528029407513
平均気温_t-1,0.002956383504448328
平均気温_t-7,0.002870064584242983
給料日,0.002868289830518055
平均気温_MA14,0.0027837997602316736
月初3日,0.002678534425078849
新学期,0.002548773170485945
最高気温_MA3,0.002490667409342934
最高気温_MA7,0.002014318478453307
最高気温_t-14,0.0019227338805139845
最高気温_MA14,0.0018835459575715734
平均気温_MA7,0.0018653235673367079
最高気温_t-1,0.0015805249028204185
気温差_MA7,0.0015395853879331906
最高気温_t-7,0.0015221499933233407
月中旬,0.0011126745545786182
気温安定,0.0008888237802743224
真夏日,0.0006588994763686275
平均気温_MA3,-0.0006428133050858843
気温下降_急_1d,-0.0007353765206541036
給料日直後,-0.0009083774187283775
連休初日,-0.0014165264844755807
気温差_t-1,-0.0022708881942836833
連続晴天日数,-0.00395193981911133
学校休み,-0.004183399763082138
夏休み,-0.004183399763082138
暖かくなった_7d,-0.004212641024661846
月末,-0.004842085956586226
月末3日,-0.00506758051129244
季節,-0.00577502375437072
降水_終了,-0.006665803144464853
降水量_変化量_7d,-0.006975190524460724
降水量_変化量_1d,-0.0071040138305490125
日,-0.007409890114848287
土曜フラグ,-0.008087861623340431
連休2日目,-0.00816739617051424
連休最終日前日,-0.00816739617051424
暑い,-0.008225498416387082
月,-0.008578999164757538
平均気温,-0.008594919187212917
週番号,-0.009788653215674877
週,-0.009788653215674877
曜日,-0.010425179818193629
年内日数,-0.010573548615298843
連休最終日,-0.011055467123514103
シルバーウィーク,-0.01144877287703848
連休フラグ,-0.012098184701064014
盆休み,-0.013374314456115909
祝日フラグ,-0.014079562065907396
季節_下降期,-0.01936094964099047
日曜フラグ,-0.023175573832008266
季節_オフ期,-0.023616272179794985
週末フラグ,-0.02374607490654109
最低気温,-0.024177757085396236
連休日数,-0.026715876046032185
休日前々日,-0.028513953080027295
休日前日,-0.02854338985865208
休日フラグ,-0.028662648860105708
休日翌日,-0.028678823499911684
連休中日番号,-0.02985024132936888
休日タイプ,-0.030657305885691044
平均気温_変化量_7d,-0.04328590358214289
気温トレンド_7d,-0.043285903582143015
平均気温_変化量_1d,-0.04419257431442986
気温トレンド_14d,-0.04521188144120515
平均気温_変化量_vs_MA7,-0.06043762266440925
年,
GW,
GW前半,
GW後半,
年末年始,
冬休み,
春休み,
四半期,
冬日,
真冬日,
寒い,
やや寒い,
気温上昇_急_1d,
季節_ピーク期,
