商品ID,総発注数量,総予測売上金額
◎あたりめ　小,149787,18349208.0
◎いちごのクロワッサン（,149787,18349208.0
◎いちごモッチ,149787,17350612.0
◎おいものパウンドケーキ,149787,20845701.0
◎おいものマドレーヌ,149787,20845701.0
◎おこめチップスのりしお,149787,31081326.0
◎おしゃぶり昆布,149787,21469829.0
◎おつまみかまぼこチーズ,149787,21594656.0
◎おつまみイカフライ,149787,13730717.0
◎お好み焼＆塩焼そば,149787,0.0
◎お肉たっぷりメンチカツ,149787,22967714.0
◎きんつば,149787,19722270.0
◎こだわりのバタークッキ,149787,29833072.0
◎こだわりのフィナンシェ,149787,16851324.0
◎こだわりのフロランタン,149787,22967714.0
◎こだわりのマドレーヌ,149787,18349208.0
◎こだわりのワッフル,149787,17974746.0
◎しっとりやわらか食パ６,149787,19722270.0
◎しっとりケーキ（チョコ,149787,16851324.0
◎しっとりバウムクーヘン,149787,20845701.0
◎しみチョココーン,149787,18349208.0
◎しみ旨フレンチトースト,149787,17974746.0
◎たっぷりクリームデニッ,149787,14479666.0
◎たっぷりマロンクリーム,149787,18349208.0
◎たまご蒸しパン４個入,149787,21469829.0
◎ちいさなオールレーズン,149787,15977551.0
◎つぶあんどら焼き,149787,17974746.0
◎つぶあんぱん北海道小豆,149787,15103779.0
◎つぶつぶいちご蒸しＣ,149787,16851324.0
◎でっかいカレーたまごパ,149787,17350612.0
◎とうふとわかめ,149787,15103779.0
◎とろけるチョコミントＣ,149787,17350612.0
◎とん汁,149787,20845701.0
◎どかっとテリマヨチキン,149787,16851324.0
◎どかっとパン（テリマヨ,149787,16851324.0
◎どかっとベーコンチーズ,149787,17350612.0
◎どかっと満足パン（ベー,149787,28709659.0
◎なすトマトソースグラタ,149787,63410894.0
◎のむヨーグルトいちご,149787,20221593.0
◎のむヨーグルトパイン,149787,19722270.0
◎のむヨーグルトプレーン,149787,18598866.0
◎のむヨーグルトメロン,149787,24340797.0
◎のむＹＧアサイーボウル,149787,22967714.0
◎はちみつすいーとぽてと,149787,21969132.0
◎ばかうけたっぷり青のり,149787,13730717.0
◎ばんそうこう３サイズ,149787,45186513.0
◎ばんそうこうＭサイズ,149787,45186513.0
◎ひとくちこしあん大福５,149787,19472634.0
◎ひとくち濃厚梅だれせん,149787,17350612.0
◎ひと口もち食感チーズ（,149787,18598866.0
◎ふくちゃん豚骨どんぶり,149787,37072903.0
◎ふわふわアソートリン４,149787,24091149.0
◎ふわもち食感のメープル,149787,16851324.0
◎ふんわりとしたパンケ８,149787,21469829.0
◎ふんわりもっちパン（チ,149787,15977551.0
◎ふんわりカステラ,149787,14854126.0
◎ふんわりホットケーキ２,149787,15977551.0
◎ぶどうぱん（シュガーマ,149787,15977551.0
◎みるくバターまんじゅう,149787,17974746.0
◎もちっとつぶあんドーナ,149787,15603074.0
◎もちもちくるみパン,149787,15977551.0
◎もちもちレモンドーナツ,149787,18598866.0
◎もっちパン（ミート＆チ,149787,15103779.0
◎もっち歩き（チョコ）,149787,15603074.0
◎やみつき種ぬき干し梅,149787,21844306.0
◎やわらか燻製さきいか,149787,22967714.0
◎りんごカスタードデニ４,149787,20845701.0
◎アップルクリームデニッ,149787,16851324.0
◎アップル香るジャスミン,149787,13730717.0
◎アールグレイクロワッサ,149787,21469829.0
◎オクラわかめとろり豆腐,149787,32204730.0
◎オレンジ香アールグレイ,149787,13730717.0
◎カフェラテ　砂糖不使用,149787,22593254.0
◎カフェラテレギュラー,149787,22593254.0
◎カリカリ梅無着色小袋,149787,22967714.0
◎カリカリ梅赤小袋,149787,22967714.0
◎ガトーショコラ風チョコ,149787,20596056.0
◎キャラメルコーン,149787,14854126.0
◎キャラメルバニラメロン,149787,21469829.0
◎クラウンメロンパン,149787,17350612.0
◎クランベリー＆チーズク,149787,18349208.0
◎クルーラーリングドー８,149787,22967714.0
◎クロワッサンワッフル,149787,20845701.0
◎グリルチキンやきとり,149787,27586239.0
◎グリルチキンゆず七味,149787,27586239.0
◎グリルチキン梅しそ,149787,27586239.0
◎グリルチキンＢＰ,149787,27586239.0
◎グリルＣヨシダテリヤキ,149787,28959314.0
◎ゴロゴロチョコのクッキ,149787,17225787.0
◎サクサク食感のミニチ５,149787,22967714.0
◎サラダチキンＳスモーク,149787,21469829.0
◎サラダチキンＳハーブ,149787,21469829.0
◎サーターアンダギー６個,149787,20596056.0
◎シャルドネ香るティー,149787,13730717.0
◎ショコラクッキー,149787,26462807.0
◎ジャスミン茶６００,149787,13730717.0
◎ジュワっとしたチーズ塩,149787,17350612.0
◎ジュワっとした塩バター,149787,16227185.0
◎ジューシーソーセージパ,149787,16851324.0
◎スイートポテトタルトデ,149787,19722270.0
