店舗名,住所,緯度,経度
ＴＸ研究学園駅店,茨城県つくば市研究学園5-10-1,36.085291,140.079426
ＴＸ北千住駅店,東京都足立区千住旭町42-3,35.748905,139.805019
ＴＸ三郷中央駅店,埼玉県三郷市中央1-1,35.824092,139.87804
ＴＸ秋葉原駅店,東京都千代田区神田佐久間町1-6-10,35.6982,139.774256
ＴＸ浅草駅／Ｓ店,東京都台東区西浅草3丁目1-11,35.713949,139.79245
ＴＸ南流山駅／Ｓ店,千葉県流山市南流山2-1,35.838028,139.90389
ＴＸ六町駅／Ｓ店,東京都足立区六町4丁目1-1,35.785189,139.821903
ＴＸ青井駅／Ｓ店,東京都足立区青井3丁目24-1,35.7722885,139.8203968
大宮桜木町店,埼玉県さいたま市大宮区桜木町4-410-1,35.89667,139.621642
鴻巣笠原店,埼玉県鴻巣市笠原729-1,36.064091,139.548079
ＴＸ柏の葉キャンパス駅店,千葉県柏市若柴174,35.893323,139.952559
ＴＸ流山おおたかの森駅店,千葉県流山市おおたかの森西一丁目1番地の1,35.871903,139.925168
ＴＸ守谷駅店,茨城県守谷市中央4-9,35.950151,139.991681
ＴＸつくば駅店,茨城県つくば市吾妻2-128,36.082696,140.111636
ＴＸ八潮駅店,埼玉県八潮市大瀬6-5-1,35.80784,139.844889
